,Unnamed: 0,PlayerId,PlayerName,Full name,Team,Batting style,Bowling style,Fielding position,Current age,Height,Playing role,Born,Also known as,Died,Education,Major teams,Nickname,Other,Relation,In a nutshell,TotalRuns,MatchesPlayed
467,467,467,DA Miller,David Andrew Miller,South Africa,Left-hand bat,Right-arm Offspin,,28 years 244 days,,Middle-order batsman,"June 10, 1989, Pietermaritzburg, Natal ",,,,"['South Africa', 'Dolphins', 'Durham', 'Kings XI Punjab', 'KwaZulu-Natal', 'KwaZulu-Natal Inland Under-19s', 'South Africa A', 'South Africa Academy', 'South African Schools', 'St Lucia Zouks', 'World-XI', 'Yorkshire']",,,,,865.0,45
468,468,468,MR Gillespie,Mark Raymond Gillespie,New Zealand,Right-hand bat,Right-arm Fast,,38 years 115 days,,Bowler,"October 17, 1979, Wanganui ",,,,"['New Zealand', 'New Zealand A', 'New Zealand XI', 'Wellington']",,,,,21.0,11
469,469,469,Fahad Tariq,Fahad Tariq Raja,United Arab Emirates,Right-hand bat,Right-arm Fast,,28 years 27 days,,Bowler,"January 13, 1990, Sharjah ",,,,United Arab Emirates,,,,,19.0,6
470,470,470,D Bishoo,Devendra Bishoo,West Indies,Left-hand bat,Legbreak,,32 years 95 days,,Bowler,"November 6, 1985, New Amsterdam, Berbice, Guyana ",,,,"['West Indies', 'Barbados Tridents', 'Berbice', 'Guyana', 'Guyana Amazon Warriors', 'West Indies A']",,,,,6.0,5
471,471,471,JJ Bumrah,Jasprit Jasbirsingh Bumrah,India,Right-hand bat,Right-arm Medium,,24 years 65 days,,Bowler,"December 6, 1993, Ahmedabad ",,,,"['India', 'Gujarat', 'India A', 'India Under-23s', 'Mumbai Indians']",,,,,0.0,24
472,472,472,JH Stander,Jan Hendrik Stander,Scotland,Right-hand bat,Right-arm Fast,,36 years 36 days,,Bowler,"January 4, 1982, Port Elizabeth, Cape Province, South Africa ",,,,"['Scotland', 'Eastern Province Academy XI', 'Scotland Lions']",,,,,25.0,5
473,473,473,T Thushara,Magina Thilan Thushara Mirando,Sri Lanka,Left-hand bat,Left-arm Fast,,36 years 345 days,,Bowler,"March 1, 1981, Balapitiya ",,,,"['Sri Lanka', 'Chennai Super Kings', 'Colts Cricket Club', 'Cricket Coaching School', 'Kandurata', 'Nondescripts Cricket Club', 'Singha Sports Club', 'Sinhalese Sports Club', 'Sri Lanka A']",,,,,4.0,5
474,474,474,LH Ferguson,Lachlan Hammond Ferguson,New Zealand,Right-hand bat,Right-arm Fast,,26 years 241 days,,Bowler,"June 13, 1991, Auckland ",,,,"['New Zealand', 'Auckland', 'Auckland Under-19s', 'Rising Pune Supergiant']",Lockie,,,,0.0,1
475,475,475,Raees Ahmadzai,Raees Khan Ahmadzai,Afghanistan,Right-hand bat,Right-arm Offspin,,33 years 159 days,,Middle-order batsman,"September 3, 1984, Loger, Afghanistan ",,,,"['Afghanistan', 'Sebastianites Cricket and Athletic Club']",,,Brother - Nasir Jamal,,41.0,4
476,476,476,S Badrinath,Subramaniam Badrinath,India,Right-hand bat,Right-arm Offspin,,37 years 163 days,,Middle-order batsman,"August 30, 1980, Madras (now Chennai), Tamil Nadu ",,,,"['India', 'Chennai Super Kings', 'India Red', ""Indian Board President's XI"", 'Karaikudi Kaalai', 'Royal Challengers Bangalore', 'Tamil Nadu']",,,,,43.0,1
477,477,477,RM Haq,Rana Majid Haq Khan,Scotland,Left-hand bat,Right-arm Offspin,,34 years 363 days,,Bowler,"February 11, 1983, Paisley, Renfrewshire ",,,,"['Scotland', 'ICC Combined Associate and Affiliate XI', 'Scotland A', 'Scotland Under-13s', 'Scotland Under-15s', 'Scotland Under-17s', 'Scotland Under-19s', 'Scotland Under-23s']",,,"['Cousin - RO Hussain', 'Cousin - Hamza Tahir']",,39.0,12
478,478,478,Shafiqullah,Shafiqullah Shafiq,Afghanistan,Right-hand bat,Not Specified,Wicketkeeper,28 years 186 days,,Wicketkeeper batsman,"August 7, 1989, Nangrahar ",,,,"['Afghanistan', 'Speen Ghar Region']",,,,,316.0,27
479,479,479,Sajedul Islam,Sajedul Islam,Bangladesh,Left-hand bat,Left-arm Medium,,30 years 22 days,,Allrounder,"January 18, 1988, Rangpur ",,,,"['Bangladesh', 'Bangladesh A', 'Barisal Division', 'North Zone (Bangladesh)', 'Rangpur Division', 'Victoria Sporting Club']",,,,,0.0,1
480,480,480,LJ Wright,Luke James Wright,England,Right-hand bat,Right-arm Fast,,32 years 339 days,6 ft 0 in ,Allrounder,"March 7, 1985, Grantham, Lincolnshire ",,,Ratcliffe College. Loughborough University,"['England', 'Abahani Limited', 'Dhaka Gladiators', 'England Lions', 'England Under-19s', 'Impi', 'Leicestershire', 'Leicestershire Cricket Board', 'Melbourne Stars', 'Pune Warriors', 'Quetta Gladiators', 'Rajshahi Kings', 'Sussex', 'Wellington']",,,,,759.0,48
481,481,481,JR Hazlewood,Josh Reginald Hazlewood,Australia,Left-hand bat,Right-arm Fast,,27 years 32 days,1.96 m ,Bowler,"January 8, 1991, Tamworth, New South Wales ",,,,"['Australia', 'Australia Under-19s', 'Mumbai Indians', 'New South Wales', 'New South Wales Country', 'New South Wales Under-17s', 'New South Wales Under-19s', 'St George', 'Sydney Sixers']",,,,,0.0,7
482,482,482,KD Karthik,Krishnakumar Dinesh Karthik,India,Right-hand bat,Not Specified,Wicketkeeper,32 years 253 days,,Wicketkeeper batsman,"June 1, 1985, Madras (now Chennai), Tamil Nadu ",Dinesh,,,"['India', 'Abahani Limited', 'Albert TUTI Patriots', 'Delhi Daredevils', 'Gujarat Lions', 'India A', 'India Blue', 'India Under-19s', ""Indian Board President's XI"", 'Kings XI Punjab', 'Mumbai Indians', 'Royal Challengers Bangalore', 'South Zone', 'Tamil Nadu']",,,,,148.0,9
483,483,483,P Khadka,Paras Khadka,Nepal,Right-hand bat,Right-arm Fast,,30 years 108 days,,Allrounder,"October 24, 1987, Nepal ",,,,"['Nepal', 'Nepal Under-19s']",,,,,137.0,9
484,484,484,EMDY Munaweera,Eldeniya Medagedara Dilshan Yasika Munaweera,Sri Lanka,Right-hand bat,Right-arm Offspin,,28 years 291 days,5 ft 7 in ,Opening batsman,"April 24, 1989, Colombo ",,,"Nalanda College, Colombo","['Sri Lanka', 'Barbados Tridents', 'Basnahira Greens', 'Basnahira North', 'Bloomfield Cricket and Athletic Club', 'Duronto Rajshahi', 'Sebastianites Cricket and Athletic Club', 'Sheikh Jamal Dhanmondi Club', 'Sri Lanka A', ""Sri Lanka Board President's XI"", 'Sri Lanka Cricket Development XI', 'Sri Lanka Under-19s', 'Sri Lanka Under-21s', 'Uva Next', 'Wayamba']",,,Father - S Munaweera,,142.0,9
485,485,485,JRMVB Sanjaya,Jayasundara Ranasinghe Mudiyanselage Vikum Bandara Sanjaya,Sri Lanka,Right-hand bat,Right-arm Fast,,25 years 364 days,,Bowler,"February 10, 1992, Colombo ",,,"Lumbini College, Colombo","['Sri Lanka', 'Burgher Recreation Club', 'Colombo Cricket Club', 'Seeduwa Raddoluwa Cricket Club', ""Sri Lanka Board President's XI""]",,,,,11.0,5
486,486,486,Aizaz Khan,Aizaz Mohammad Khan,Hong Kong,Right-hand bat,Right-arm Fast,,24 years 325 days,,Allrounder,"March 21, 1993, Hong Kong ",,,,"['Hong Kong', 'Hong Kong Under-17s', 'Hong Kong Under-19s']",,,,,174.0,22
487,487,487,DAJ Bracewell,Douglas Andrew John Bracewell,New Zealand,Right-hand bat,Right-arm Fast,,27 years 134 days,,Bowler,"September 28, 1990, Tauranga, Bay of Plenty ",,,,"['New Zealand', 'Central Districts', 'Delhi Daredevils', 'New Zealand A', 'New Zealand Under-19s']",,,"['Father - BP Bracewell', 'Uncle - DW Bracewell', 'Uncle - MA Bracewell', 'Uncle - JG Bracewell', 'Cousin - MG Bracewell']",,77.0,14
488,488,488,MN Waller,Malcolm Noel Waller,Zimbabwe,Right-hand bat,Right-arm Offspin,,33 years 134 days,,Batsman,"September 28, 1984, Harare ",,,,"['Zimbabwe', 'Centrals', 'Dhaka Dynamites', 'Mashonaland', 'Mid West Rhinos', 'Zimbabwe A']",,,"['Father - AC Waller', 'Cousin - NR Waller']",,567.0,27
489,489,489,R Powell,Rovman Powell,West Indies,Right-hand bat,Right-arm Fast,,24 years 201 days,,Batsman,"July 23, 1993, Jamaica ",,,,"['West Indies', 'Combined Campuses and Colleges', 'Comilla Victorians', 'Jamaica', 'Jamaica Tallawahs', 'Kolkata Knight Riders']",,,,,7.0,4
490,490,490,L Balaji,Lakshmipathy Balaji,India,Right-hand bat,Right-arm Fast,,36 years 135 days,,Bowler,"September 27, 1981, Madras (now Chennai), Tamil Nadu ",Naidu,,,"['India', 'Albert TUTI Patriots', 'Chennai Super Kings', 'Kings XI Punjab', 'Kolkata Knight Riders', 'Tamil Nadu']",,,,,0.0,5
491,491,491,B Zuiderent,Bastiaan Zuiderent,Netherlands,Right-hand bat,Right-arm Medium,Occasional wicketkeeper,40 years 343 days,,Middle-order batsman,"March 3, 1977, Utrecht ",,,,"['Netherlands', 'Sussex', 'VOC', 'VRA Cricket']",,,,,85.0,5
492,492,492,KAJ Roach,Kemar Andre Jamal Roach,West Indies,Right-hand bat,Right-arm Fast,,29 years 224 days,,Bowler,"June 30, 1988, St. Lucy, Barbados ",,,,"['West Indies', 'Antigua Hawksbills', 'Barbados', 'Brisbane Heat', 'Deccan Chargers', 'St Lucia Zouks', ""University of West Indies Vice Chancellor's XI"", 'West Indies Under-19s', 'Worcestershire']",,,,,3.0,11
493,493,493,CK Coventry,Charles Kevin Coventry,Zimbabwe,Right-hand bat,Legbreak,Wicketkeeper,34 years 338 days,,Top-order batsman,"March 8, 1983, Kwekwe, Midlands ",,,,"['Zimbabwe', 'Matabeleland', 'Matabeleland Tuskers', 'Westerns', 'Zimbabwe Cricket Academy']",Choppa,,Father - CK Coventry,,127.0,12
494,494,494,R Vinay Kumar,Ranganath Vinay Kumar,India,Right-hand bat,Right-arm Medium,,33 years 362 days,,Bowler,"February 12, 1984, Davanagere, Karnataka ",,,,"['India', 'India A', 'Karnataka', 'Kochi Tuskers Kerala', 'Kolkata Knight Riders', 'Mumbai Indians', 'Royal Challengers Bangalore', 'South Zone']",,,,,2.0,9
495,495,495,AU Rashid,Adil Usman Rashid,England,Right-hand bat,Legbreak,,29 years 357 days,5 ft 8 in ,Bowler,"February 17, 1988, Bradford, Yorkshire ",,,,"['England', 'Adelaide Strikers', 'England Lions', 'England Under-19s', 'Marylebone Cricket Club', 'South Australia', 'Yorkshire', 'Yorkshire 2nd XI']",Dilly,,"['Brother - H Rashid', 'Brother - A Rashid']",,28.0,21
496,496,496,JAR Blain,John Angus Rae Blain,Scotland,Right-hand bat,Right-arm Fast,,39 years 36 days,6 ft 2 in ,,"January 4, 1979, Edinburgh, Midlothian ",,,Penicuik HS; Jewel and Esk Valley College,"['Scotland', 'Dunfermline', ""George Heriot's School Former Pupils"", 'Northamptonshire', 'Yorkshire']","Blainy, Haggis, William, JB",,,,3.0,3
497,497,497,SC Williams,Sean Colin Williams,Zimbabwe,Left-hand bat,Left-arm Orthodox,,31 years 136 days,,Middle-order batsman,"September 26, 1986, Bulawayo ",,,,"['Zimbabwe', 'Brothers Union', 'Matabeleland', 'Matabeleland Tuskers', 'Zimbabwe A', 'Zimbabwe Board XI', 'Zimbabwe Provinces', 'Zimbabwe Select XI', 'Zimbabwe Under-19s', 'Zimbabwe XI']",,,"['Father - CR Williams', 'Brother - ML Williams']",,463.0,23
498,498,498,CMW Read,Christopher Mark Wells Read,England,Right-hand bat,Not Specified,Wicketkeeper,39 years 183 days,5 ft 8 in ,,"August 10, 1978, Paignton, Devon ",,,"Torquay Boys' Grammar School, University of Bath, Loughborough University","['England', 'Devon', 'Gloucestershire', 'Nottinghamshire']",Reados,,,,13.0,1
499,499,499,SR Watson,Shane Robert Watson,Australia,Right-hand bat,Right-arm Fast,,36 years 237 days,1.83 m ,Allrounder,"June 17, 1981, Ipswich, Queensland ",,,,"['Australia', 'Hampshire', 'Islamabad United', 'New South Wales', 'Queensland', 'Rajasthan Royals', 'Royal Challengers Bangalore', 'St Lucia Zouks', 'Sydney Sixers', 'Sydney Thunder', 'Tasmania']",Watto,,,,1462.0,58
500,500,500,JDF Vandersay,Jeffrey Dexter Francis Vandersay,Sri Lanka,Right-hand bat,Legbreak,,28 years 4 days,5 ft 7 in ,Bowler,"February 5, 1990, Wattala ",,,"Wesley College, Colombo","['Sri Lanka', 'Moors Sports Club', 'Seeduwa Raddoluwa Cricket Club', 'Sinhalese Sports Club', 'Sri Lanka Cricket Development XI']",,,,,15.0,7
501,501,501,F du Plessis,Francois du Plessis,South Africa,Right-hand bat,Legbreak,,33 years 211 days,5 ft 11 in ,Middle-order batsman,"July 13, 1984, Pretoria ",,,"Affies Boys School, Pretoria","['South Africa', 'Chennai Super Kings', 'Lancashire', 'Northerns', 'Rising Pune Supergiants', 'South Africa A', 'South Africa Under-19s', 'St Kitts and Nevis Patriots', 'Titans', 'World-XI']",,,,,1129.0,36
502,502,502,Shafiul Islam,Shafiul Islam,Bangladesh,Right-hand bat,Right-arm Fast,,28 years 126 days,,Bowler,"October 6, 1989, Bogra ",,,,"['Bangladesh', 'Bangladesh A', 'Barisal Burners', 'North Zone (Bangladesh)', 'Rajshahi Division']",,,,,18.0,11
503,503,503,TD Paine,Timothy David Paine,Australia,Right-hand bat,Right-arm Medium,Wicketkeeper,33 years 63 days,1.80 m ,Wicketkeeper batsman,"December 8, 1984, Hobart, Tasmania ",,,"Lauderdale Primary, Rokeby High, Rosny College","['Australia', 'Australia A', 'Hobart Hurricanes', 'Pune Warriors', 'Tasmania', 'World-XI']",Kid,,,,30.0,6
504,504,504,AK Perera,Angelo Kanishka Perera,Sri Lanka,Right-hand bat,Left-arm Orthodox,,27 years 351 days,5 ft 8 in ,Allrounder,"February 23, 1990, Moratuwa ",,,"St. Peter's College, Colombo","['Sri Lanka', 'Colts Cricket Club', 'Nondescripts Cricket Club', 'Schools Invitation XI', 'Southern Express', 'Sri Lanka A', 'Sri Lanka Academy XI', 'Sri Lanka Under-19s']",,,,,4.0,2
505,505,505,MC Bascombe,Miles Cameron Bascombe,West Indies,Right-hand bat,Not Specified,,32 years 28 days,,Batsman,"January 12, 1986 ",,,,"['Combined Campuses and Colleges', 'St Vincent', 'West Indies A', 'Windward Islands']",,,,,3.0,1
506,506,506,SP Narine,Sunil Philip Narine,West Indies,Left-hand bat,Right-arm Offspin,,29 years 259 days,,Bowler,"May 26, 1988, Arima, Trinidad & Tobago ",,,,"['West Indies', 'Barisal Burners', 'Cape Cobras', 'Comilla Victorians', 'Guyana Amazon Warriors', 'Kolkata Knight Riders', 'Lahore Qalandars', 'Melbourne Renegades', 'Sydney Sixers', 'Trinbago Knight Riders', 'Trinidad & Tobago', 'West Indies Under-19s']",,,,,145.0,46
507,507,507,HM Amla,Hashim Mahomed Amla,South Africa,Right-hand bat,Right-arm Medium,,34 years 315 days,,Top-order batsman,"March 31, 1983, Durban, Natal ",,,,"['South Africa', 'Cape Cobras', 'Derbyshire', 'Dolphins', 'Essex', 'Kings XI Punjab', 'KwaZulu-Natal', 'South Africa XI', 'Trinbago Knight Riders', 'World-XI']",,,Brother - AM Amla,,1070.0,38
508,508,508,SS Cottrell,Sheldon Shane Cottrell,West Indies,Right-hand bat,Left-arm Fast,,28 years 174 days,,Bowler,"August 19, 1989, Jamaica ",,,,"['West Indies', 'Antigua Hawksbills', 'Jamaica', 'Sagicor High Performance Centre', 'St Kitts and Nevis Patriots', 'West Indies A']",,,,,0.0,6
509,509,509,RS Bopara,Ravinder Singh Bopara,England,Right-hand bat,Right-arm Medium,,32 years 281 days,5 ft 10 in ,Middle-order batsman,"May 4, 1985, Forest Gate, London ",,,Brampton Manor School,"['England', 'Auckland', 'Chittagong Kings', 'Dhaka Dynamites', 'Dolphins', 'England Lions', 'England Under-19s', 'Essex', 'Essex Cricket Board', 'Gloucestershire', 'Karachi Kings', 'Kings XI Punjab', 'Marylebone Cricket Club', 'Prime Bank Cricket Club', 'Sunrisers Hyderabad', 'Sydney Sixers']",Puppy,,,,711.0,36
510,510,510,MJ Prior,Matthew James Prior,England,Right-hand bat,Not Specified,Wicketkeeper,35 years 348 days,5 ft 11 in ,Wicketkeeper batsman,"February 26, 1982, Johannesburg, Transvaal, South Africa ",,,"Brighton College, East Sussex","['England', 'England A', 'England Lions', 'England Under-19s', 'Sussex', 'Sussex Cricket Board', 'Victoria']",,,,,127.0,8
511,511,511,AO Suji,Otieno Suji Ondik,Kenya,Right-hand bat,Right-arm Medium,,42 years 4 days,,,"February 5, 1976, Nairobi ",,,,"['Kenya', 'Aga Khan Sports Club']",T Lo,,Brother - MA Suji,,11.0,3
512,512,512,RMS Eranga,Ranaweera Mudiyanselage Shaminda Eranga,Sri Lanka,Right-hand bat,Right-arm Fast,,31 years 231 days,5 ft 10 in ,Bowler,"June 23, 1986, Chilaw ",,,"St. Mary's College, Chilaw","['Sri Lanka', 'Basnahira North', 'Chilaw Marians Cricket Club', 'Sri Lanka A', 'Tamil Union Cricket and Athletic Club']",,,,,6.0,3
513,513,513,Imran Nazir,Imran Nazir,Pakistan,Right-hand bat,Legbreak,,36 years 55 days,,,"December 16, 1981, Gujranwala, Punjab ",,,,"['Pakistan', 'Asia XI', 'Dhaka Gladiators', 'ICL Pakistan XI', 'Lahore Badshahs', 'National Bank of Pakistan', 'North West Frontier Province Panthers', 'Pakistan Reserves', 'Sheikhupura Cricket Association', 'Sialkot Cricket Association', 'Sialkot Stallions', 'Water and Power Development Authority', 'Zarai Taraqiati Bank Limited']",,,,,495.0,23
514,514,514,Shoaib Akhtar,Shoaib Akhtar,Pakistan,Right-hand bat,Right-arm Fast,,42 years 180 days,,Bowler,"August 13, 1975, Rawalpindi, Punjab ",,,,"['Pakistan', 'Agriculture Development Bank of Pakistan', 'Asia XI', 'Chittagong Division', 'Durham', 'ICC World XI', 'Islamabad Leopards', 'Khan Research Labs', 'Kolkata Knight Riders', 'Pakistan International Airlines', 'Rawalpindi', 'Somerset', 'Surrey', 'Worcestershire']",,,,,21.0,14
515,515,515,Mohammad Nadeem,Mohammad Nadeem,Oman,Right-hand bat,Right-arm Fast,,35 years 158 days,,Bowler,"September 4, 1982, Sialkot, Pakistan ",,,,Oman,,,,,21.0,6
516,516,516,Samiullah Shenwari,Samiullah Shenwari,Afghanistan,Right-hand bat,Legbreak,,31 years 6 days,,Allrounder,"February 3, 1987, Nangrahar, Afghanistan ",,,,"['Afghanistan', 'Boost Region', 'Habib Bank Limited', 'Speen Ghar Tigers']",,,,,774.0,49
517,517,517,MV Boucher,Mark Verdon Boucher,South Africa,Right-hand bat,Right-arm Medium,Wicketkeeper,41 years 68 days,,Wicketkeeper batsman,"December 3, 1976, East London, Cape Province ",,,,"['South Africa', 'Africa XI', 'Border', 'Cape Cobras', 'ICC World XI', 'Kolkata Knight Riders', 'Royal Challengers Bangalore', 'Warriors']",,,,,268.0,21
518,518,518,MR Marsh,Mitchell Ross Marsh,Australia,Right-hand bat,Right-arm Medium,,26 years 112 days,,Allrounder,"October 20, 1991, Attadale, Perth ",,,,"['Australia', 'Australia A', 'Deccan Chargers', 'Fremantle', 'Perth Scorchers', 'Pune Warriors', 'Rising Pune Supergiants', 'Western Australia', 'Western Australia Second XI', 'Western Australia Under-19s']",,,"['Father - GR Marsh', 'Brother - SE Marsh']",,133.0,9
519,519,519,S Bau,Sese Bau,Papua New Guinea,Left-hand bat,Right-arm Medium,,25 years 231 days,,Middle-order batsman,"June 23, 1992 ",,,,"['Papua New Guinea', 'Papua New Guinea Under-19s']",,,,,94.0,5
520,520,520,LA Pomersbach,Luke Anthony Pomersbach,Australia,Left-hand bat,Right-arm Offspin,,33 years 134 days,1.78 m ,Batsman,"September 28, 1984, Bentley, Perth, Western Australia ",,,,"['Australia', 'Brisbane Heat', 'Gosnells', 'Kings XI Punjab', 'Queensland', 'Queensland Under-23s', 'Royal Challengers Bangalore', 'Western Australia']",Pomers,,,,15.0,1
521,521,521,Shuvagata Hom,Shuvagata Hom Chowdhury,Bangladesh,Right-hand bat,Right-arm Offspin,,31 years 90 days,,Bowler,"November 11, 1986, Mymensing ",Shuvagoto Hom,,,"['Bangladesh', 'Bangladesh A', 'Bangladesh Cricket Board Academy', 'Barisal Burners', 'Central Zone (Bangladesh)', 'Dhaka Division', 'Rajshahi Division', 'Sylhet Sixers']",,,,,35.0,5
522,522,522,Aizaz Cheema,Aizaz Bin Ilyas Cheema,Pakistan,Right-hand bat,Right-arm Fast,,38 years 157 days,,Bowler,"September 5, 1979, Sargodha, Punjab ",,,,"['Pakistan', 'Lahore Eagles', 'Lahore Lions', 'Lahore Ravi', 'Lahore Shalimar', 'Model Town Green', 'Pakistan A', 'Pakistan International Airlines', 'Punjab (Pakistan)', 'Punjab Stallions', 'Quetta Gladiators']",,,,,0.0,5
523,523,523,JK Mukhiya,Jitendra Kumar Mukhiya,Nepal,Right-hand bat,Right-arm Fast,,25 years 79 days,,Bowler,"November 22, 1992, Nepal ",,,,Nepal,,,,,0.0,4
524,524,524,K Weeraratne,Kaushalya Weeraratne,Sri Lanka,Left-hand bat,Right-arm Fast,,37 years 11 days,,,"January 29, 1981, Gampola ",,,,"['Sri Lanka', 'Bloomfield Cricket and Athletic Club', 'Colts Cricket Club', 'Gazi Tank Cricketers', 'Kandurata', 'Nondescripts Cricket Club', 'Ragama Cricket Club', 'Ruhuna Reds', 'Sylhet Division']",,,"['Brother - PC Weeraratne', 'Cousin - D Weeraratne']",,45.0,4
525,525,525,BTJ Wheal,Bradley Thomas James Wheal,Scotland,Right-hand bat,Right-arm Fast,,21 years 165 days,,Bowler,"August 28, 1996, Durban, KwaZulu-Natal ",,,,"['Scotland', 'Scotland XI', 'Hampshire', 'Hampshire 2nd XI', 'KwaZulu-Natal Under-19s']",,,,,2.0,5
526,526,526,CB Sole,Christopher Barclay Sole,Scotland,Right-hand bat,Right-arm Medium,,23 years 347 days,,,"February 27, 1994 ",,,,"['Scotland', 'Scotland A', 'Scotland Development XI', 'Scotland Under-13s', 'Scotland Under-19s']",,,,,0.0,1
527,527,527,JNK Shannon,James Norman Knight Shannon,Ireland,Right-hand bat,Right-arm Offspin,,27 years 362 days,,Middle-order batsman,"February 12, 1990, Belfast ",,,,"['Ireland', 'Cardiff MCCU', 'Ireland Under-13s', 'Ireland Under-15s', 'Ireland Under-19s']",,,Brother - SWK Shannon,,2.0,2
528,528,528,Umair Ali,Umair Ali Khan,United Arab Emirates,Right-hand bat,Not Specified,,31 years 343 days,,Batsman,"March 3, 1986, Karachi ",,,,United Arab Emirates,,,,,22.0,3
529,529,529,W Barresi,Wesley Barresi,Netherlands,Right-hand bat,Right-arm Offspin,Wicketkeeper,33 years 282 days,,Wicketkeeper batsman,"May 3, 1984, Johannesburg ",,,,"['Netherlands', 'Easterns', 'Easterns Under-15s', 'Easterns Under-19s', 'Easterns Under-23s']",,,,,632.0,30
530,530,530,KP Pietersen,Kevin Peter Pietersen,England,Right-hand bat,Right-arm Offspin,,37 years 227 days,6 ft 4 in ,Top-order batsman,"June 27, 1980, Pietermaritzburg, Natal ",,,"Maritzburg College, University of SA","['England', 'Deccan Chargers', 'Delhi Daredevils', 'Dolphins', 'Hampshire', 'ICC World XI', 'KwaZulu-Natal', 'Melbourne Stars', 'Natal', 'Nottinghamshire', 'Quetta Gladiators', 'Rising Pune Supergiants', 'Royal Challengers Bangalore', 'St Lucia Zouks', 'Sunrisers Hyderabad', 'Surrey']","KP, Kelves, Kapes, Kev",,,,1176.0,36
531,531,531,TR Birt,Travis Rodney Birt,Australia,Left-hand bat,Right-arm Medium,Occasional wicketkeeper,36 years 62 days,1.78 m ,Middle-order batsman,"December 9, 1981, Sale, Victoria ",,,,"['Australia', 'Australia A', 'Delhi Daredevils', 'Derbyshire', 'Hobart Hurricanes', 'Khulna Royal Bengals', 'Northern Districts', 'Tasmania', 'Wellington']",Edgar,,,,31.0,3
532,532,532,RM Hira,Roneel Magan Hira,New Zealand,Left-hand bat,Left-arm Orthodox,,31 years 17 days,,Bowler,"January 23, 1987, Auckland ",,,,"['New Zealand', 'Auckland', 'New Zealand A', 'New Zealand Under-19s']",,,,,37.0,13
533,533,533,Misbah-ul-Haq,Misbah-ul-Haq Khan Niazi,Pakistan,Right-hand bat,Legbreak,,43 years 257 days,,Middle-order batsman,"May 28, 1974, Mianwali, Punjab ",,,,"['Pakistan', 'Faisalabad Wolves', 'Islamabad United', 'Khan Research Labs', 'Royal Challengers Bangalore', 'Sargodha', 'St Lucia Zouks']",,,,,771.0,33
534,534,534,SK Raina,Suresh Kumar Raina,India,Left-hand bat,Right-arm Offspin,,31 years 74 days,,Middle-order batsman,"November 27, 1986, Muradnagar, Ghaziabad, Uttar Pradesh ",Sanu,,,"['India', 'Chennai Super Kings', 'Gujarat Lions', 'India Blue', 'India Under-19s', ""Indian Board President's XI"", ""Rajasthan Cricket Association President's XI"", 'Uttar Pradesh', 'Uttar Pradesh Under-16s']",,,,,1307.0,60
535,535,535,DJG Sammy,Darren Julius Garvey Sammy,West Indies,Right-hand bat,Right-arm Fast,,34 years 51 days,,Allrounder,"December 20, 1983, Micoud, St Lucia ",,,,"['West Indies', 'Glamorgan', 'Hobart Hurricanes', 'Kings XI Punjab', 'Northern Windward Islands', 'Nottinghamshire', 'Peshawar Zalmi', 'Rajshahi Kings', 'Royal Challengers Bangalore', 'St Lucia', 'St Lucia Zouks', 'Stanford Superstars', 'Sunrisers Hyderabad', ""University of West Indies Vice Chancellor's XI"", 'Windward Islands', 'World-XI']",,,,,534.0,61
536,536,536,Noor Ali Zadran,Noor Ali Zadran,Afghanistan,Right-hand bat,Right-arm Fast,,29 years 214 days,,Opening batsman,"July 10, 1988, Khost, Afghanistan ",,,,"['Afghanistan', 'Mis Ainak Region']",,,Nephew - Mujeeb Ur Rahman,,433.0,18
537,537,537,ML Udawatte,Mahela Lakmal Udawatte,Sri Lanka,Left-hand bat,Right-arm Offspin,,31 years 205 days,5 ft 8 in ,Batsman,"July 19, 1986, Colombo ",,,"Ananda College, Colombo","['Sri Lanka', 'Ananda College', 'Chilaw Marians Cricket Club', 'Ruhuna', 'Sri Lanka A', 'Sri Lanka Academy XI', 'Wayamba']",,,,,52.0,4
538,538,538,DA Warner,David Andrew Warner,Australia,Left-hand bat,Legbreak,,31 years 105 days,1.70 m ,Opening batsman,"October 27, 1986, Paddington, New South Wales ",,,,"['Australia', 'Australia A', 'Australia Under-19s', 'Delhi Daredevils', 'Durham', 'Middlesex', 'New South Wales', 'Northern Districts', 'Sunrisers Hyderabad', 'Sydney Thunder']",Lloyd,,,,1686.0,63
539,539,539,Mukhtar Ahmed,Mukhtar Ahmed,Pakistan,Right-hand bat,Legbreak,,25 years 51 days,,Opening batsman,"December 20, 1992, Sialkot, Punjab ",,,,"['Pakistan', 'Khyber-Pakhtunkhwa Fighters', 'Lahore Qalandars', 'Pakistan A', 'Sialkot Stallions', 'State Bank of Pakistan']",,,,,192.0,6
540,540,540,Atif Ali Khan,Atif Ali Khan,United Arab Emirates,Right-hand bat,Left-arm Medium,,31 years 363 days,,,"February 11, 1986, Sialkot, Punjab ",,,,United Arab Emirates,,,,,0.0,1
541,541,541,DW Steyn,Dale Willem Steyn,South Africa,Right-hand bat,Right-arm Fast,,34 years 227 days,,Bowler,"June 27, 1983, Phalaborwa ",,,,"['South Africa', 'Africa XI', 'Cape Cobras', 'Deccan Chargers', 'Essex', 'Gujarat Lions', 'Jamaica Tallawahs', 'Northerns', 'Royal Challengers Bangalore', 'Sunrisers Hyderabad', 'Titans', 'Warwickshire']",,,,,15.0,42
