,Unnamed: 0,PlayerId,PlayerName,Full name,Team,Batting style,Bowling style,Fielding position,Current age,Height,Playing role,Born,Also known as,Died,Education,Major teams,Nickname,Other,Relation,In a nutshell,TotalRuns,MatchesPlayed
90,90,90,RJ Harris,Ryan James Harris,Australia,Right-hand bat,Right-arm Fast,,38 years 120 days,5 ft 10 in ,Bowler,"October 11, 1979, Sydney, New South Wales ",,,,"['Australia', 'Deccan Chargers', 'Kings XI Punjab', 'Queensland', 'South Australia', 'Surrey', 'Sussex', 'Yorkshire']",Ryano,,,,2.0,3
91,91,91,K Rabada,Kagiso Rabada,South Africa,Left-hand bat,Right-arm Fast,,22 years 259 days,,Bowler,"May 25, 1995, Johannesburg ",,,,"['South Africa', 'Delhi Daredevils', 'Gauteng', 'Gauteng Under-19s', 'Lions', 'South Africa A', 'South Africa Colts XI', 'South Africa Under-19s', 'St Stithians College']",,,,,5.0,16
92,92,92,Amir Ali,Syed Amir Ali,Oman,Right-hand bat,Right-arm Offspin,,39 years 76 days,,Batsman,"November 24, 1978, Karachi, Sind ",,,,Oman,,,,,97.0,8
93,93,93,PC Connell,Peter Christopher Connell,Ireland,Right-hand bat,Right-arm Fast,,36 years 179 days,,Bowler,"August 13, 1981, Dannevirke, Manawatu, New Zealand ",,,,"['Ireland', 'Ireland A']",,,,,4.0,6
94,94,94,CD Wallace,Craig Donald Wallace,Scotland,Right-hand bat,Not Specified,Wicketkeeper,27 years 226 days,,Wicketkeeper batsman,"June 27, 1990, Dundee, Angus ",,,,"['Scotland', 'Durham 2nd XI', 'Scotland Under-15s', 'Scotland Under-17s', 'Scotland Under-19s']",,,,,28.0,5
95,95,95,A Mishra,Amit Mishra,India,Right-hand bat,Legbreak,,35 years 76 days,,Bowler,"November 24, 1982, Delhi ",,,,"['India', 'Deccan Chargers', 'Delhi Daredevils', 'Haryana', 'India Blue', 'Sunrisers Hyderabad']",,,,,0.0,10
96,96,96,XJ Doherty,Xavier John Doherty,Australia,Left-hand bat,Left-arm Orthodox,,35 years 79 days,1.78 m ,Bowler,"November 22, 1982, Scottsdale, Tasmania ",,,,"['Australia', 'Australia A', 'Hobart Hurricanes', 'Melbourne Renegades', 'Tasmania']",X,,Brother - PN Doherty,,18.0,11
97,97,97,E Otieno,Elijah Otieno Asoyo,Kenya,Right-hand bat,Right-arm Fast,,30 years 37 days,,Bowler,"January 3, 1988, Nairobi, Kenya ",Elijah Asoyo,,,"['Kenya', 'Eastern Aces', 'Kenya A', 'Kenya Elite', 'Kenya Select XI', 'Kenya Under-19s', 'Kongonis']",,,,,19.0,8
98,98,98,Mohammad Kashif,Mohammad Kashif,Netherlands,Right-hand bat,Right-arm Offspin,,33 years 68 days,,Bowler,"December 3, 1984, Khanewal, Punjab, Pakistan ",Muhammad Kashif,,,"['Netherlands', 'North Holland Hurricanes']",,,,,0.0,2
99,99,99,DS Kulkarni,Dhawal Sunil Kulkarni,India,Right-hand bat,Right-arm Medium,,29 years 61 days,,Bowler,"December 10, 1988, Bombay (now Mumbai), Maharashtra ",,,,"['India', 'Gujarat Lions', 'India A', 'India Under-19s', 'Mumbai', ""Mumbai Cricket Association President's XI"", 'Mumbai Indians', 'Rajasthan Royals']",,,,,1.0,2
